mass_Msun,mass_kg,schwarzschild_radius_km,hawking_temperature_K
3.962071218988738e-18,7878459756822.536,1.1701340965593164e-17,15572849360.30559
4.0760049772502056e-18,8105013617112.716,1.2037826020813642e-17,15137552233.741165
4.193215027267671e-18,8338082285270.945,1.2383987077504251e-17,14714422667.782578
4.3137955824493644e-18,8577853101833.088,1.2740102379833835e-17,14303120550.992914
4.437843565414566e-18,8824518794519.9,1.3106458173190926e-17,13903315278.836359
4.565458685900261e-18,9078277633152.092,1.348334893426854e-17,13514685487.937387
4.696743520907515e-18,9339333589018.967,1.3871077607763615e-17,13136918797.769907
4.8318035971531345e-18,9607896498831.094,1.4269955849884757e-17,12769711559.564964
4.970747475891751e-18,9884182233386.47,1.468030427886064e-17,12412768612.238716
5.113686840177443e-18,10168412871087.64,1.510245273265318e-17,12065803045.141684
5.26073658463467e-18,10460816876448.502,1.5536740534081578e-17,11728535967.439766
5.412014907810252e-18,10761629283733.453,1.5983516763569066e-17,11400696283.942537
5.5676434071816736e-18,11071091885878.543,1.6443140539734657e-17,11082020477.196241
5.727747176896797e-18,11389453428843.975,1.6915981308051693e-17,10772252395.66919
5.892454908324637e-18,11716969811556.291,1.7402419137808426e-17,10471143047.856928
6.061898993497597e-18,12053904291600.168,1.7902845027608028e-17,10178450402.142685
6.236215631527811e-18,12400527696824.107,1.8417661219652155e-17,9893939192.253025
6.415544938084351e-18,12757118643032.59,1.8947281523064327e-17,9617380728.150192
6.600031058017763e-18,13123963757936.58,1.9492131646508382e-17,9348552712.211782
6.789822281224069e-18,13501357911545.625,2.0052649540374213e-17,9087239060.547333
6.985071161839731e-18,13889604453183.451,2.0629285748800926e-17,8833229729.310759
7.18593464086506e-18,14289015455320.947,2.1222503771825395e-17,8586320545.866567
7.392574172312956e-18,14699911964419.143,2.1832780437942307e-17,8346313044.676467
7.605155852985774e-18,15122624258986.621,2.2460606287379306e-17,8113014307.772579
7.823850555984079e-18,15557492115057.66,2.310648596639362e-17,7886236809.68984
8.048834068053958e-18,16004865079303.254,2.3770938632905314e-17,7665798266.733546
8.280287230884886e-18,16465102749997.668,2.445449837379783e-17,7451521490.45924
8.518396086469686e-18,16938575066062.377,2.5157714634215296e-17,7243234245.249195
8.763352026645588e-18,17425662604423.953,2.5881152659208013e-17,7040769109.868977
9.015351946934383e-18,17926756885920.613,2.6625393948074624e-17,6843963342.894774
9.274598404807557e-18,18442260690007.684,2.739103672177281e-17,6652658751.901421
9.54129978250143e-18,18972588378510.617,2.817869640376762e-17,6466701566.307767
9.815670454514957e-18,19518166228689.355,2.898900611470932e-17,6285942313.775744
