radius_pix,dx_pix,dy_pix,offset_arcsec,line_flux,peak_channel_SNR,line_SNR
36,25,25,1.979898987322899,-6.9588040238426725e-06,,-0.0022075841793066727
36,20,30,2.019108714260411,0.0009529240459874963,,0.30230195315103203
36,14,33,2.0074262128412848,0.002682206106719519,,0.8508927319329871
36,7,35,1.998815649328943,0.003922917003879566,,1.244491077033592
36,0,36,2.016000000000576,0.0005509235535276456,,0.17477286565449912
36,-7,35,1.998815649328943,0.002069467560589927,,0.6565099161714779
36,-14,33,2.0074262128412848,0.0014676624856382794,,0.4655955926845948
36,-20,30,2.019108714260411,5.71025468211596e-05,,0.018114991962498245
36,-25,25,1.979898987322899,-0.0035389166847240765,,-1.1226722951693686
36,-30,20,2.019108714260411,-0.0039602319462063934,,-1.2563287255792623
36,-33,14,2.0074262128412848,-0.0006433373908171676,,-0.20408987536627918
36,-35,7,1.998815649328943,0.003493479198963454,,1.1082578822373557
36,-36,0,2.016000000000576,-0.001923731185484518,,-0.6102770699913168
36,-35,-7,1.998815649328943,-0.003714304969775763,,-1.178311799025094
36,-33,-14,2.0074262128412848,-0.002810971006717257,,-0.8917416127336342
36,-30,-20,2.019108714260411,-0.00019907792190607685,,-0.06315471298564054
36,-25,-25,1.979898987322899,0.00659703262170964,,2.0928172134403935
36,-20,-30,2.019108714260411,0.0035306503909106144,,1.1200499279663874
36,-14,-33,2.0074262128412848,0.0014426345970279845,,0.45765584172333307
36,-7,-35,1.998815649328943,-0.0014058336126236471,,-0.44598123920893934
36,0,-36,2.016000000000576,-0.0007286143410578707,,-0.23114280652598482
36,7,-35,1.998815649328943,0.0011699151984469773,,0.3711393903856206
36,14,-33,2.0074262128412848,-0.0004058504237440182,,-0.12875042486502702
36,20,-30,2.019108714260411,-0.004729848804977508,,-1.500479012859895
36,25,-25,1.979898987322899,-0.0026901713884702307,,-0.8534196072288488
36,30,-20,2.019108714260411,-0.0040966854468739945,,-1.2996167084356134
