radius_pix,dx_pix,dy_pix,offset_arcsec,line_flux,peak_channel_flux,mask_pixels,peak_channel_SNR,line_SNR
30,-25,17,1.6930162432775528,-0.0017586598,0.001761653,112,,-0.50095296
30,-28,11,1.6846602031275097,-0.0004307346,0.0026411195,112,,-0.122694425
30,-29,6,1.6583944042360887,0.0015271439,0.0017349704,112,,0.43500578
30,-30,0,1.68000000000048,-0.00019836449,0.0016008692,112,,-0.056503978
30,-29,-6,1.6583944042360887,-0.0012180046,0.002434375,112,,-0.3469477
30,-28,-11,1.6846602031275097,-0.0036370875,0.0026182523,112,,-1.0360217
30,-25,-17,1.6930162432775528,-0.0019456294,0.0020194505,112,,-0.5542111
30,-21,-21,1.6631151493512348,0.0047323983,0.0029173465,112,,1.3480201
30,-17,-25,1.6930162432775528,0.0045340266,0.0019214305,112,,1.291514
30,-11,-28,1.6846602031275097,0.0015375722,0.0026223524,112,,0.4379763
30,-6,-29,1.6583944042360887,-0.002506325,0.0014458669,112,,-0.7139248
30,0,-30,1.68000000000048,0.00042883796,0.0023753042,112,,0.12215417
30,6,-29,1.6583944042360887,0.005757969,0.0020317188,112,,1.6401532
30,11,-28,1.6846602031275097,0.00077065005,0.0010321629,112,,0.2195191
30,17,-25,1.6930162432775528,-0.0029004922,0.0015027234,112,,-0.82620305
30,21,-21,1.6631151493512348,-0.00041674823,0.0025160774,112,,-0.11871042
30,25,-17,1.6930162432775528,-0.00024512055,0.001148949,112,,-0.06982241
30,28,-11,1.6846602031275097,0.0035243547,0.0018478379,112,,1.0039098
30,29,-6,1.6583944042360887,0.0049348446,0.0016560073,112,,1.4056867
36,36,0,2.016000000000576,0.0030826307,0.0014766143,112,,0.8780851
36,35,7,1.998815649328943,0.0013777309,0.0025399574,112,,0.3924456
36,33,14,2.0074262128412848,0.0009384821,0.0019574284,112,,0.26732594
36,30,20,2.019108714260411,-0.0015260306,0.0019376657,112,,-0.4346887
36,25,25,1.979898987322899,-0.0011083224,0.0020898639,112,,-0.31570482
36,20,30,2.019108714260411,0.0016918937,0.0031512515,112,,0.48193464
36,14,33,2.0074262128412848,0.0036731644,0.0031187627,112,,1.0462981
36,7,35,1.998815649328943,0.0032778452,0.0021381874,112,,0.93369174
36,0,36,2.016000000000576,0.0028440673,0.002257474,112,,0.8101304
36,-7,35,1.998815649328943,0.0036443926,0.0025084568,112,,1.0381025
36,-14,33,2.0074262128412848,0.0005437602,0.001569615,112,,0.15488969
36,-20,30,2.019108714260411,-0.0012462246,0.0013071767,112,,-0.35498616
36,-25,25,1.979898987322899,-0.0033668033,0.0015722082,112,,-0.9590314
36,-30,20,2.019108714260411,-0.0025825081,0.0012766051,112,,-0.7356255
36,-33,14,2.0074262128412848,-0.0011306438,0.0020841663,112,,-0.32206303
36,-35,7,1.998815649328943,0.0034706309,0.0019358776,112,,0.98860663
36,-36,0,2.016000000000576,-0.002038721,0.0013460938,112,,-0.5807282
36,-35,-7,1.998815649328943,-0.004169673,0.0014650137,112,,-1.1877283
36,-33,-14,2.0074262128412848,-0.0032428333,0.0010175272,112,,-0.92371863
36,-30,-20,2.019108714260411,0.0012334682,0.0021435036,112,,0.35135248
36,-25,-25,1.979898987322899,0.0073341494,0.0031606844,112,,2.089127
36,-20,-30,2.019108714260411,0.0036973,0.0027687238,112,,1.0531732
36,-14,-33,2.0074262128412848,0.0019467003,0.0020226594,112,,0.55451614
36,-7,-35,1.998815649328943,-0.00024874922,0.0013799213,112,,-0.07085603
36,0,-36,2.016000000000576,-0.0011427877,0.0015520968,112,,-0.32552224
36,7,-35,1.998815649328943,0.001439537,0.0018361184,112,,0.41005105
36,14,-33,2.0074262128412848,-0.0013261868,0.0007501421,112,,-0.37776333
36,20,-30,2.019108714260411,-0.005276181,0.0007456073,112,,-1.5029162
36,25,-25,1.979898987322899,-0.0047798078,0.00086367375,112,,-1.3615247
36,30,-20,2.019108714260411,-0.0045832777,0.0003871094,112,,-1.3055432
36,33,-14,2.0074262128412848,-0.0017865739,0.00054319104,112,,-0.5089042
36,35,-7,1.998815649328943,0.0032871712,0.0020003663,112,,0.93634826
42,42,0,2.352000000000672,0.002579149,0.0018954973,112,,0.7346687
42,41,8,2.339299040311676,-0.0029444012,0.0011050443,112,,-0.8387105
42,39,16,2.3606507577367695,-0.004205822,0.00091409206,112,,-1.1980252
42,35,23,2.345323858234326,-0.003110703,0.0006575379,112,,-0.88608146
