z,score,contributing_lines
2.2695,-0.5162271748909121,5
2.27,-0.45966764213000044,5
2.2705,-0.4635427698114191,5
2.271,-0.49395781772254244,5
2.2715,-0.47438977489650463,5
2.2720000000000002,-0.45546769541518634,5
2.2725,-0.4565182269659827,5
2.273,-0.4439269050871788,5
2.2735,-0.41619115854007266,5
2.274,-0.37128973969251583,5
2.2745,-0.32333992678332096,5
2.275,-0.2906714519274342,5
2.2755,-0.3398656509117346,5
2.276,-0.3778748502633213,5
2.2765,-0.378812650124589,5
2.277,-0.3604613784308574,5
2.2775,-0.34078060034553487,5
2.278,-0.34425361162172574,5
2.2785,-0.3661935441702002,5
2.279,-0.3972573402816751,5
2.2795,-0.43739783554256445,5
2.2800000000000002,-0.4500789397819038,5
2.2805,-0.42937601082270405,5
2.281,-0.4064255960922019,5
2.2815,-0.3862454447609286,5
2.282,-0.3600287129442309,5
2.2825,-0.3750291466834839,5
2.283,-0.4476843141566302,5
2.2835,-0.4890595012394271,5
2.284,-0.5235942327308882,5
2.2845,-0.5397761737566039,5
2.285,-0.5819026105548485,5
2.2855,-0.6286950710859578,5
2.286,-0.6428877955090712,5
2.2865,-0.6587324191461139,5
2.287,-0.6807394274056638,5
2.2875,-0.6768300078797396,5
2.288,-0.6523195280972565,5
2.2885,-0.6083609653449816,5
2.289,-0.5782157768033063,5
2.2895,-0.5551774335093562,5
2.29,-0.4893412589326316,5
2.2904999999999998,-0.43146592478838297,5
2.291,-0.36806971985167086,5
2.2915,-0.32552558001891085,5
2.292,-0.2759033611740317,5
2.2925,-0.2636910502905556,5
2.293,-0.30117253420155465,5
2.2935,-0.3665887037183909,5
2.294,-0.44860666961035556,5
2.2945,-0.5206526647030334,5
2.295,-0.5864933720295792,5
2.2955,-0.6323485963392245,5
2.296,-0.6591779042535285,5
2.2965,-0.6247726915218869,5
2.297,-0.5743576102890934,5
2.2975,-0.5641813538324719,5
2.298,-0.5496879029447795,5
2.2984999999999998,-0.5308562002282137,5
2.299,-0.4650478709947147,5
2.2995,-0.4165244516852599,5
2.3,-0.3924386613602853,5
2.3005,-0.33481648625555976,5
2.301,-0.2603269411016523,5
2.3015,-0.18359813763225527,5
2.302,-0.08857697713884242,5
2.3025,0.003893591806518292,5
2.303,0.05475919642431044,5
2.3035,0.09772474666410626,5
2.304,0.14313434861984906,5
2.3045,0.16327412932688073,5
2.305,0.16741829333673255,5
2.3055,0.10744139886962681,5
2.306,0.08262532911499723,5
2.3064999999999998,0.08885301603047269,5
