redshift_z,comoving_distance_Gly,luminosity_distance_Gly,universe_age_Myr,shell_volume_Gpc3_per_z_all_sky,shell_volume_norm,cumulative_R3_volume_fraction_to_46p5Gly,Lmin_over_Lstar_toy,schechter_visible_fraction,toy_detection_fraction,raw_detected_proxy_norm,volume_corrected_proxy_norm,cumulative_detected_proxy
0.8497374301675977,9.801242287717045,18.129724721731712,6513.842993417045,308.3807654884238,0.5825736666176164,0.009364498334061597,0.0007243436686713282,0.47083488351150377,0.46785522530208984,0.9733682422240144,0.469983772420624,0.14180728225344677
0.8609050279329609,9.899892228543107,18.422759224090314,6460.671300573446,312.5169289028784,0.5903874480065823,0.009650116177801498,0.0007434597757095456,0.466134155629587,0.4631712300322008,0.9765478522967346,0.46527846691608155,0.14490706761687625
0.872072625698324,9.997883282559613,18.71676360820675,6408.170759378258,316.60690776507306,0.5981139804262144,0.009939518091326927,0.0007628008196452718,0.46147532014859055,0.4585290653682112,0.9794125445478341,0.4606151823293362,0.14801594616615402
0.8832402234636871,10.095220778079458,19.01172583402562,6356.330548467027,320.65038274270404,0.6057526606138849,0.010232661434538626,0.0007823655112317834,0.4568580059943732,0.4539283605657715,0.981968340998355,0.45599354622930516,0.1511329373956354
0.8944078212290503,10.191910027608285,19.30763406956392,6305.140046788783,324.6470755116582,0.6133029627770759,0.010529503292551135,0.0008021525597228953,0.45228184541743605,0.44936874820362743,0.9842213163650957,0.45141318952312,0.15425708008221084
0.9055754189944134,10.287956326356351,19.60447668719273,6254.588829679665,328.5967469949343,0.6207644352664603,0.010830000512606342,0.0008221606734359763,0.44798416668011387,0.44508601916344204,0.9867011138703925,0.44711097584310383,0.15738909421102348
0.9167430167597765,10.383364950824646,19.90224225996136,6204.666665012454,332.49919565404514,0.6281366973481255,0.011134109739390987,0.0008423885602890416,0.44372278925916625,0.4408395441991756,0.9888935626998874,0.4428451811800069,0.1605280676719116
0.9279106145251397,10.478141157462977,20.200919557965605,6155.363509420503,336.35425583229267,0.635419436073792,0.011441787448806293,0.0008628349283128138,0.4394974085848508,0.4366290189814497,0.9908044064009816,0.4386154998198784,0.16367310658604148
0.9390782122905028,10.57229018139766,20.500497544761007,6106.669504594717,340.1617961492319,0.6426124032477352,0.011752989980236885,0.000883498486138599,0.4355395516694849,0.43268445104896835,0.9929679495331449,0.4346529857402719,0.1668250130789781
0.950245810055866,10.665817235226578,20.800965373822276,6058.574973652209,343.92171794558743,0.6497154124890187,0.01206767356736587,0.0009043779434628334,0.43138330251226475,0.4285429702557528,0.9943342132963465,0.43049266292813215,0.1699812564043657
