scale_factor_a,redshift_z,radiation_term,matter_term,curvature_term,lambda_term,H_over_H0_squared,H_over_H0
0.00032304888748266157,3094.5067135269774,8447239901.832386,9343418560.485016,-881.5588868411342,0.685,17790657581.443516,133381.62385217656
0.0003253957534578839,3072.180855537595,8206166108.04867,9142709295.37663,-868.8885325175362,0.685,17348874535.22177,131715.12644803472
0.00032775966880278074,3050.0160193068755,7971972262.594197,8946311536.687403,-856.4002850061798,0.685,16918282943.566315,130070.30000567506
0.0003301407573765795,3028.0110434905696,7744462020.240927,8754132667.429302,-844.0915269460802,0.685,16498593844.263702,128446.85221625208
0.0003325391439383125,3006.1647751204423,7523444639.211133,8566082060.152451,-831.9596785947167,0.685,16089525868.088903,126844.49482767828
0.0003349549541533539,2984.476069543863,7308734821.261848,8382071034.20714,-820.0021972873549,0.685,15690805036.15179,125262.94358728678
0.0003373883146000041,2962.9437903638286,7100152556.333098,8202012813.92394,-808.2165769041396,0.685,15302164562.72546,123701.91818531134
0.0003398393527761217,2941.566809379421,6897522971.629693,8025822487.69213,-796.6003473448476,0.685,14923344663.406475,122161.14219917262
0.0003423081971058044,2920.3440065266946,6700676185.010029,7853416967.917211,-785.1510740111884,0.685,14554092368.461164,120640.34303855889
0.00034479497694611693,2899.2742698199913,6509447162.559027,7684714951.83858,-773.8663572965493,0.685,14194161341.216248,119139.25189129
0.00034729982259386994,2878.3564952936736,6323675580.225687,7519636883.188849,-762.7438320830678,0.685,13843311701.355703,117657.60366995285
0.00034982286529244616,2857.589586944285,6143205689.409427,7358104914.676846,-751.7811672459396,0.685,13501309852.990105,116195.13695929837
0.0003523642372386773,2836.9724566731225,5967886186.382365,7200042871.27648,-740.9760651648457,0.685,13167928317.367779,114751.59396438804
0.00035492407158977063,2816.5040242292243,5797570085.438136,7045376214.304225,-730.3262612424043,0.685,12842945570.101099,113326.7204594799
0.00035750250247028586,2796.183217152769,5632114595.660897,6894032006.268269,-719.8295234295426,0.685,12526145882.784641,111920.26573764307
0.00036009966497916267,2776.0089707188854,5471381001.211181,6745938876.472751,-709.4836517576911,0.685,12217319168.885279,110531.98256109079
0.0003627156951967993,2755.9802278818624,5315234545.028257,6601026987.3608675,-699.2864778777003,0.685,11916260833.787647,109161.6271122213
0.00036535073019218267,2736.0959392197674,5163544315.851476,6459228001.580976,-689.2358646053872,0.685,11622771628.881586,107808.9589453566
0.0003680049080300704,2716.355062879455,5016183138.465856,6320475049.760129,-679.3297054736078,0.685,11336657509.581278,106473.74093916903
0.00037067836777822366,2696.7565645219915,4873027467.08004,6184702698.969995,-669.5659242907778,0.685,11057729497.16911,105155.7392497866
0.00037337124951469563,2677.2994172684434,4733957281.746913,6051846921.869964,-659.9424747057245,0.685,10785803544.359402,103854.72326456511
0.00037608369433516975,2657.9826016460834,4598855987.740429,5921845066.513299,-650.4573397788048,0.685,10520700404.481386,102570.46555652063
0.0003788158443603528,2638.80510553497,4467610317.804023,5794635826.801803,-641.1085315591815,0.685,10262245504.182293,101302.74183941071
0.00038156784274342146,2619.7659241149217,4340110237.188739,5670159213.575165,-631.8940906681784,0.685,10010268819.554813,100051.33092345555
0.00038433983367752294,2600.8640598128623,4216248851.401453,5548356526.321355,-622.8120858886199,0.685,9764604755.595722,98816.01467169035
0.00038713196240333,2582.098522250557,4095922316.5858536,5429170325.494724,-613.8606137600772,0.685,9525092028.904964,97596.57795693948
0.0003899443752166513,2563.4683281927187,3979029752.4610276,5312544405.428727,-605.0377981799273,0.685,9291573553.536957,96392.80861940354
0.000392777219476096,2544.972501495492,3865473157.744692,5198423767.830544,-596.3417900101516,0.685,9063896329.918447,95204.49742485092
0.0003956306436107956,2526.610073055304,3755157327.9901137,5086754595.845056,-587.770766689779,0.685,8841911336.749401,94031.43802340471
0.0003985047971281802,2508.3800807580924,3647989775.767888,4977484228.675959,-579.3229318529051,0.685,8625473425.805916,92873.42690891682
0.0004013998306218126,2490.28156942889,3543880653.125616,4870561136.752069,-570.9965149521989,0.685,8414441219.566171,91730.26337892076
0.0004043158957792785,2472.313590781782,3442742676.2604914,4765934897.427071,-562.7897708878203,0.685,8208677011.582791,90601.74949515484
0.0004072531453901345,2454.4752033702143,3344491052.3416324,4663556171.201267,-554.7009796416716,0.685,8008046669.526921,89487.6900446476
0.00041021173335391336,2436.765472537672,3249043408.4208326,4563376678.454144,-546.7284459169073,0.685,7812419540.831531,88387.8925013575
0.000413191814688188,2419.183470368701,3156319722.3720827,4465349176.676707,-538.8704987826218,0.685,7621668360.863292,87302.16698835883
0.0004161935455366934,2401.728275640295,3066242255.8020225,4369427438.192954,-531.1254913236476,0.685,7435669163.554485,86230.32624056624
0.0004192170831775083,2384.3989737736233,2978735488.8750186,4275566228.35986,-523.4918002953835,0.685,7254301194.428079,85172.18556798973
0.00042226258603129545,2367.1946567861123,2893726056.998282,4183721284.2357073,-515.9678257835869,0.685,7077446825.951164,84127.56281951335
0.0004253302136696027,2350.11442324387,2811142689.313882,4093849293.7066164,-508.55199086905276,0.685,6904991475.153508,83096.27834718899
0.0004284201268232234,2333.1573782144565,2730916148.946153,4005907875.061483,-501.24274129711455,0.685,6736823523.449895,82078.15497103901
0.00043153248739061836,2316.32263321999,2652979174.954347,3919855557.005667,-494.0385451518939,0.685,6572834238.606469,81073.0179443597
0.00043466745844639843,2299.6093061905995,2577266425.9418917,3835651759.104015,-486.9378925352329,0.685,6412917698.793014,80080.6949195186
