rank,repository,owner,name,description,html_url,clone_url,default_branch,language,stars,forks,watchers,open_issues,size_kb,archived,updated_at,created_at,matched_categories,matched_queries,category,interest_score
22,spacetelescope/JWST_Planned_Observations,spacetelescope,JWST_Planned_Observations,Jupyter notebooks for querying and analyzing planned JWST observations.,https://github.com/spacetelescope/JWST_Planned_Observations,https://github.com/spacetelescope/JWST_Planned_Observations.git,master,Jupyter Notebook,0,5,0,0,117,False,2023-08-22T12:01:44Z,2018-01-31T15:40:10Z,notebooks,JWST notebook,general JWST,23.406
23,spacetelescope/sprint_notebooks,spacetelescope,sprint_notebooks,Notebooks from JWST DADF Sprints,https://github.com/spacetelescope/sprint_notebooks,https://github.com/spacetelescope/sprint_notebooks.git,master,Jupyter Notebook,6,5,6,1,6205,True,2025-10-28T03:25:11Z,2016-06-16T21:02:52Z,notebooks,JWST notebook,general JWST,23.043
24,YWangScience/jdat_notebooks_cn,YWangScience,jdat_notebooks_cn,JWST Data Analysis Tools Notebooks 中文版,https://github.com/YWangScience/jdat_notebooks_cn,https://github.com/YWangScience/jdat_notebooks_cn.git,main,HTML,0,0,0,1,20266,False,2025-03-19T23:18:19Z,2025-03-19T18:31:05Z,notebooks,JDAT notebooks JWST,science notebooks,19.307
25,spacetelescope/jwst-visit-parser,spacetelescope,jwst-visit-parser,Python tools for parsing JWST visit (.vst) files,https://github.com/spacetelescope/jwst-visit-parser,https://github.com/spacetelescope/jwst-visit-parser.git,master,Python,2,3,2,0,55,True,2024-04-12T14:38:36Z,2019-04-16T16:08:50Z,official_pipeline,org:spacetelescope jwst python,general JWST,17.894
26,kcmccool/jwst-pipeline-notebooks,kcmccool,jwst-pipeline-notebooks,,https://github.com/kcmccool/jwst-pipeline-notebooks,https://github.com/kcmccool/jwst-pipeline-notebooks.git,main,Jupyter Notebook,0,0,0,0,415938,False,2026-04-20T13:41:59Z,2026-04-20T13:37:13Z,pipeline_notebooks,JWST pipeline notebooks,pipeline notebooks,16.619
27,mayukh4/JWST_image_processing,mayukh4,JWST_image_processing,This jupyter notebook demonstrates how to use RAW JWST data and turn them into beautiful images using Python,https://github.com/mayukh4/JWST_image_processing,https://github.com/mayukh4/JWST_image_processing.git,main,Jupyter Notebook,2,3,2,0,10922,False,2025-11-07T20:52:52Z,2025-04-06T23:30:53Z,imaging;notebooks,JWST image processing python || JWST notebook,image processing,16.184
28,VirginiaLenk1/AGNs-in-eJWST,VirginiaLenk1,AGNs-in-eJWST,This is the main repository for the  AGN catalog of JWST observations. Here you find code (or notebooks) for the crossmatching process. This repo might still be updated and does currently not include all code used to generate the catalogue.,https://github.com/VirginiaLenk1/AGNs-in-eJWST,https://github.com/VirginiaLenk1/AGNs-in-eJWST.git,main,Jupyter Notebook,5,2,5,0,168,False,2026-06-14T10:32:06Z,2024-09-14T08:49:40Z,notebooks,JWST notebook,general JWST,16.106
29,aryahassibi/Star-Detection-Using-JSWT-Data,aryahassibi,Star-Detection-Using-JSWT-Data,"Detecting and counting stars in JWST’s Pillars of Creation NIRCam images using Python-based image processing. (Sabancı University, 2022)",https://github.com/aryahassibi/Star-Detection-Using-JSWT-Data,https://github.com/aryahassibi/Star-Detection-Using-JSWT-Data.git,main,Jupyter Notebook,2,3,2,0,53461,False,2025-11-19T21:43:08Z,2022-12-02T09:27:28Z,imaging;nircam,JWST NIRCam python || JWST image processing python,NIRCam / PSF,13.874
30,JWSTGiantPlanets/pipelines,JWSTGiantPlanets,pipelines,Custom JWST reduction pipelines for NIRSpec and MIRI Solar System observations,https://github.com/JWSTGiantPlanets/pipelines,https://github.com/JWSTGiantPlanets/pipelines.git,main,Python,4,2,4,3,2354,False,2025-12-05T10:39:26Z,2023-05-02T09:50:36Z,nirspec,JWST NIRSpec python,MIRI examples,13.696
31,taylorbell57/ExoSLAM2025_Eureka,taylorbell57,ExoSLAM2025_Eureka,"JWST exoplanet atmosphere analysis tutorial for the 2025 ExoSLAM summer school using Docker, JupyterLab, and Eureka!.",https://github.com/taylorbell57/ExoSLAM2025_Eureka,https://github.com/taylorbell57/ExoSLAM2025_Eureka.git,main,Jupyter Notebook,0,0,0,1,46,False,2025-07-03T05:13:19Z,2025-06-25T18:45:00Z,exoplanet,Eureka JWST,exoplanet spectra,13.672
32,dancoe/JWST-ETC-Pandeia,dancoe,JWST-ETC-Pandeia,notebooks running the JWST Exposure Time Calculator (ETC) Pandeia Python engine,https://github.com/dancoe/JWST-ETC-Pandeia,https://github.com/dancoe/JWST-ETC-Pandeia.git,main,Jupyter Notebook,2,0,2,0,2131,False,2026-05-18T15:43:10Z,2022-11-16T18:30:20Z,etc;notebooks,JWST ETC Pandeia || JWST notebook,exposure calculator,13.669
33,afeinstein20/nirhiss,afeinstein20,nirhiss,A JWST NIRISS spectral extraction code,https://github.com/afeinstein20/nirhiss,https://github.com/afeinstein20/nirhiss.git,main,Python,4,0,4,0,11896,False,2026-03-16T07:53:36Z,2022-07-20T18:07:26Z,niriss,JWST NIRISS python,general JWST,12.968
34,varshaa886/Exoplanet-Atmosphere-Modeling-using-Eureka-PICASO-ExoJAX,varshaa886,Exoplanet-Atmosphere-Modeling-using-Eureka-PICASO-ExoJAX,"This repository showcases my work during an internship at VSSC, ISRO, focused on atmospheric characterization of exoplanets using James Webb Space Telescope (JWST) data.",https://github.com/varshaa886/Exoplanet-Atmosphere-Modeling-using-Eureka-PICASO-ExoJAX,https://github.com/varshaa886/Exoplanet-Atmosphere-Modeling-using-Eureka-PICASO-ExoJAX.git,main,,0,0,0,0,8,False,2025-07-06T03:00:50Z,2025-06-01T14:51:36Z,exoplanet,Eureka JWST,exoplanet spectra,12.954
35,jruffio/HD_19467_B,jruffio,HD_19467_B,Python scripts for Ruffio et al 2024 on HD 19467 B with JWST NIRSpec IFU.,https://github.com/jruffio/HD_19467_B,https://github.com/jruffio/HD_19467_B.git,master,Jupyter Notebook,2,1,2,0,5766,False,2024-06-09T15:51:50Z,2024-01-25T02:52:11Z,nirspec,JWST NIRSpec python,general JWST,12.004
36,dancoe/NIRSpec_MOS_JWebbinar,dancoe,NIRSpec_MOS_JWebbinar,draft notebooks for upcoming JWebbinar on JWST NIRSpec MOS pipeline reduction,https://github.com/dancoe/NIRSpec_MOS_JWebbinar,https://github.com/dancoe/NIRSpec_MOS_JWebbinar.git,main,Jupyter Notebook,0,0,0,0,38665,False,2024-08-02T15:52:36Z,2024-06-14T10:45:56Z,pipeline_notebooks,JWST pipeline notebooks,general JWST,11.587
37,meganmansfield/ERS_NIRCam,meganmansfield,ERS_NIRCam,Demonstration to duplicate the data reduction of a transit of WASP-39b observed with NIRCam/F322W2 as part of the JWST Transiting Exoplanet Early Release Science Program (ERS 1366). This demonstration follows the data reduction with Eureka! presented in Ahrer et al. (2022).,https://github.com/meganmansfield/ERS_NIRCam,https://github.com/meganmansfield/ERS_NIRCam.git,main,Jupyter Notebook,3,1,3,2,208,False,2024-12-29T12:24:34Z,2022-09-23T14:42:51Z,exoplanet,Eureka JWST,NIRCam / PSF,11.438
38,radicamc/supreme-spoon,radicamc,supreme-spoon,Tools for Reduction of NIRISS/SOSS TSOs,https://github.com/radicamc/supreme-spoon,https://github.com/radicamc/supreme-spoon.git,main,Python,5,2,5,0,5432,False,2024-07-26T14:33:08Z,2022-07-20T12:52:37Z,niriss,JWST NIRISS python,general JWST,10.613
39,rpvdmarel/Obs_Guide_Assess,rpvdmarel,Obs_Guide_Assess,Work in progress on a future JDAT notebook for Assessing JWST Data for Observatory or Guiding Issues,https://github.com/rpvdmarel/Obs_Guide_Assess,https://github.com/rpvdmarel/Obs_Guide_Assess.git,main,Jupyter Notebook,0,0,0,0,3966,False,2025-06-16T15:00:10Z,2025-05-06T17:44:14Z,notebooks,JDAT notebooks JWST,general JWST,10.598
40,dancoe/pandeia-imaging,dancoe,pandeia-imaging,Python wrapper for the JWST Pandeia Exposure Time Calculator (ETC): NIRCam Imaging,https://github.com/dancoe/pandeia-imaging,https://github.com/dancoe/pandeia-imaging.git,main,Jupyter Notebook,2,0,2,1,1497,False,2022-11-16T18:26:21Z,2017-05-14T14:08:00Z,etc;nircam,JWST ETC Pandeia || JWST NIRCam python,NIRCam / PSF,10.515
41,000RF/MRS-ExampleNB,000RF,MRS-ExampleNB,Example notebooks for processing MRS data with the JWST pipeline,https://github.com/000RF/MRS-ExampleNB,https://github.com/000RF/MRS-ExampleNB.git,main,Jupyter Notebook,0,0,0,0,2830,False,2026-06-28T09:43:50Z,2026-06-28T09:37:49Z,pipeline_notebooks,JWST pipeline notebooks,general JWST,10.452
42,hailadev/eureka-jwst-parallel,hailadev,eureka-jwst-parallel,,https://github.com/hailadev/eureka-jwst-parallel,https://github.com/hailadev/eureka-jwst-parallel.git,main,Python,0,0,0,0,115,False,2026-06-09T23:28:07Z,2026-02-03T23:08:48Z,exoplanet,Eureka JWST,exoplanet spectra,10.064
