mass_Msun,mass_kg,schwarzschild_radius_km,schwarzschild_radius_AU,hawking_temperature_K,temperature_relative_to_CMB
1.3739602106211642e-17,27320786600138.664,4.057770799420387e-17,2.7124522430922457e-25,4490722349.246139,1647669179.690383
1.4140975388323292e-17,28118905330419.215,4.176309951517364e-17,2.791690772051453e-25,4363259008.219649,1600902222.7920196
1.4554073938048062e-17,28940339403590.43,4.298311973075052e-17,2.873244086270977e-25,4239413549.137777,1555462685.4293807
1.4979240284165956e-17,29785769927855.477,4.4238780244669976e-17,2.9571798072838467e-25,4119083283.1045313,1511312890.5171645
1.541682696170712e-17,30655897908545.758,4.5531122212520097e-17,3.0435675320424265e-25,4002168435.9154124,1468416230.3854017
1.5867196804263935e-17,31551444829374.707,4.6861217205038395e-17,3.132478890626242e-25,3888572065.3274646,1426737136.4254136
1.6330723244841244e-17,32473153250669.47,4.8230168096624646e-17,3.2239876056353957e-25,3778199980.6778164,1386241049.5974379
1.6807790625495275e-17,33421787425078.59,4.963910997980969e-17,3.3181695533190296e-25,3670960664.783735,1346894391.7753568
1.7298794516019188e-17,34398133931268.676,5.1089211106442016e-17,3.4151028264897635e-25,3566765198.0591636,1308664537.9046648
1.780414204193718e-17,35403002326130.83,5.258167385636569e-17,3.514867799275815e-25,3465527184.785401,1271519788.9507985
1.8324252222080143e-17,36437225816039.7,5.411773573439579e-17,3.61754719376469e-25,3367162681.4744735,1235429345.6152904
1.8859556316024243e-17,37501661947724.73,5.569867039642254e-17,3.7232261485940084e-25,3271590127.2655706,1200363282.7978613
1.941049818167784e-17,38597193319320.94,5.732578870548669e-17,3.831992289545783e-25,3178730276.2973466,1166292524.7834697
1.9977534643314536e-17,39724728312191.66,5.900043981870621e-17,3.94393580220298e-25,3088506131.999729,1133188821.1336377
2.0561135870358893e-17,40885201844132.55,6.072401230595886e-17,4.0591495067288327e-25,3000842883.250544,1101024723.2619865
2.1161785767236253e-17,42079576144576.27,6.249793530124117e-17,4.177728934830432e-25,2915667842.3444843,1069773561.6747329
2.177998237461102e-17,43308841552442.77,6.432367968766122e-17,4.299772408970606e-25,2832910384.722747,1039409423.8571811
2.2416238282347927e-17,44574017337300.38,6.620275931705333e-17,4.42538112389412e-25,2752501890.413135,1009907132.787795
2.307108105453547e-17,45876152544512.14,6.813673226521665e-17,4.554659230535201e-25,2674375687.1325464,981242226.0622076
2.3745053666925487e-17,47216326865071.32,7.012720212382257e-17,4.687713922376208e-25,2598466995.004395,953390935.6097579
2.4438714957153275e-17,48595651530850.57,7.217581933006764e-17,4.8246555243294415e-25,2524712872.8449774,926330167.9856825
2.5152640088108265e-17,50015270236000.64,7.428428253516427e-17,4.965597584215099e-25,2453052165.974617,900037485.2227545
2.588742102484099e-17,51476360085265.56,7.6454340012809e-17,5.110656966911562e-25,2383425455.5101223,874491086.2264254
2.664366702540378e-17,52980132570004.65,7.868779110880166e-17,5.259953951256451e-25,2315775009.0963273,849669788.6979737
2.742200514602844e-17,54527834572723.17,8.09864877330064e-17,5.413612329778061e-25,2250044733.0362396,825553011.5708089
2.8223080761061576e-17,56120749400948.11,8.33523358948972e-17,5.5717595113402375e-25,2186180125.7799034,802120757.9452957
2.904755809809073e-17,57760197851310.47,8.578729728396703e-17,5.734526626786209e-25,2124128232.7332535,779353598.5078897
2.989612078870086e-17,59447539304707.99,8.829339089629855e-17,5.902048637668113e-25,2063837602.3498523,757232655.4209695
3.076947243532138e-17,61184172853463.51,9.08726947086559e-17,6.074464448153132e-25,2005258243.4687915,735739586.6698923
3.1668337194630935e-17,62971538461407.77,9.352734740147687e-17,6.2519170201983945e-25,1948341583.8636053,714856570.8543773
3.259346037800762e-17,64811118157856.81,9.625955013220631e-17,6.434553492091002e-25,1893040429.9675534,694566292.4115038
